image_index,image,label,gt,predictions,tp,fp,fn,error_score
77,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image16.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image16.txt,6,6,6,0,0,0
78,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image17.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image17.txt,3,3,3,0,0,0
79,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image18.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image18.txt,4,6,3,3,1,4
80,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image19.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image19.txt,4,2,2,0,2,2
81,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image2.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image2.txt,12,11,10,1,2,3
82,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image3.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image3.txt,3,3,3,0,0,0
83,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image4.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image4.txt,3,5,3,2,0,2
84,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image440.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image440.txt,2,3,2,1,0,1
85,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image442.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image442.txt,3,3,3,0,0,0
86,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image443.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image443.txt,3,3,3,0,0,0
87,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image445.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image445.txt,3,3,3,0,0,0
